,1.605,0.005,0.805
-0.8,0.00436841452798354,0.8264823849418053,0.7976606655379621
-3.2,0.003667897382937826,0.9114377078209521,0.9048672150602004
3.2,0.0018606286903243504,0.9114321550671444,0.8529015968619921
-2.4,0.004411683366474752,0.887482729165308,0.8801978015878751
2.4,0.002150841529526778,0.8880230993358543,0.8007004645673869
0.8,0.002968434493521077,0.8263759807635298,0.7000797597801596
-4.0,0.003299073408877168,0.928579703438716,0.9223390639425632
-1.6,0.004710638655932007,0.8578422398517556,0.8453638226931386
-0.0,0.0036986710450976506,0.8113913476727779,0.7397210945617901
1.6,0.0024442875311306658,0.8575937271849309,0.7330553548977954
